 *To view, open file on an editor to 124 columns wide*
__________________________________________________________________________________________________________________________
                      SUMMARY OF TABULATED INFORMATION
 
 Enclosed are double-differential emission spectra for neutron, proton, deuteron, and alpha ejectiles, in the lab frame.
 Information on the average energy transferred to secondary ejectiles in nuclear reactions is also given.
 The results were generated from the GNASH nuclear model code by M.B. Chadwick and P.G. Young of Los Alamos Nat. Lab.
  
 This file is an electronic version of the printed table in the ICRU report, but for a wider range of incident energies.
 See the Table description key in the ICRU report.
  
 The information enclosed here should be considered as derived from the accompanying ENDF file. It has the advantage of 
 being transformed into the laboratory frame, for more convenient use in a radiation transport code, or for comparisons 
 with experimental data in the laboratory frame.
 However, the following should be born in mind: (1) Emission energies have been rebinned on coarser grids. More detailed
 information is sometimes available from the ENDF file or the ENDF-easy file; (2) Some information is not included (see 
 next paragraph), but is available on the ENDF and ENDF-easy files.
  
 Emission spectra of gammas, recoils, and tritons (if included) are not given, nor are elastic scattering distributions.
 However, information on the average kinetic energy transferred to these ejectiles is given in this file.
 Furthermore, full information on these ejectiles can be found on the ENDF file, or on the ENDF-easy file. Omission of 
 information on triton, and recoil spectra here is not problematic for most needs since most radiation transport calcs.
 will not track these ejectiles and will treat their energy deposition as occurring locally - this file provides 
 information needed for calculation of local energy deposition in the ENERGY DEPOSITION SUMMARY sections
  
 Also note:
  
 * The emission energies are given as histograms, and in the tables below, the energy bin range is given (note the 
   first bin is wider than the other bins).
  
 * Multiplicity is defined as the production cross section divided by the nonelastic cross section.
  
 * Kerma coefficients (also known as kerma factors) are given in units fGym2 (femto.Gray.meters-squared). This unit is 
   given by multiplying kerma co. in MeV.barns by 9.684/A where A is the target atomic mass in u. They are only defined
   for incident neutrons.
  
 * In the ENERGY DEPOSITION SUMMARY, the average fraction of incident energy transferred to secondary ejectiles per 
   nonelastic reaction is given, for radiation transport applications. This is defined as:
   (average energy)*multiplicity/(incident energy).
   Note that the fractions for all ejectiles do not sum to unity since some energy is converted to mass (i.e. Q-values)
  
 **LIABILITY: Neither the ICRU, nor members of the ICRU report committee, nor Los Alamos National Laboratory, guarantees
   the accuracy of this information, nor will they accept any liability for any problems encountered with its use.**
  
__________________________________________________________________________________________________________________________

+++++++++++++++++++++++++++++++++++++++   5-MeV  protons incident on 208Pb ++++++++++++++++++++++++++++++++++++++++++++++++

Cross section summary information for   5-MeV reactions on 208Pb:
Nonelastic cross section = 5.166E-01 mb
  
                         5-MeV  protons incident on 208Pb
                        Emission spectrum of  *neutrons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 2.8E-02 2.8E-02 2.8E-02 2.8E-02 2.8E-02 2.7E-02 2.7E-02 2.7E-02 2.7E-02 2.7E-02 2.7E-02 2.7E-02 2.7E-02   3.4E-01
 1.5- 2.5 1.0E-03 1.0E-03 9.8E-04 9.4E-04 9.0E-04 8.5E-04 8.0E-04 7.4E-04 6.4E-04 5.5E-04 4.8E-04 4.3E-04 4.0E-04   8.3E-03
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                           neutron production cross section (mb) =5.158E-01
                                                                           neutron multiplicity (dimensionless)  =9.985E-01
                                                                           neutron average energy (MeV)          =7.598E-01
  
                         5-MeV  protons incident on 208Pb
                        Emission spectrum of    *alphas*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 1.5- 2.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 2.5- 3.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
