MEDIUM=H2O700ICRU	VER=0.0.0
 COMP,RHO= 1.0000E+00,NE= 2, IUNRST=0, EPSTFL=1, IAPRIM=1
 ASYM=H ,Z= 1.,A=    1.008,PZ= 2.00000E+00,RHOZ= 2.01594E+00
 ASYM=O ,Z= 8.,A=   15.999,PZ= 1.00000E+00,RHOZ= 1.59994E+01
TABLE
kE	dE/dx
[MeV]	[MeV/cm^2]
1	260.8
2	158.6
3	117.2
4	94.04
5	79.11
6	68.58
7	60.71
8	54.6
9	49.69
10	45.67
11	42.3
12	39.43
13	36.96
14	34.81
15	32.92
16	31.24
17	29.74
18	28.4
19	27.18
20	26.07
21	25.05
22	24.12
23	23.27
24	22.48
25	21.75
26	21.07
27	20.43
28	19.84
29	19.28
30	18.76
31	18.27
32	17.81
33	17.37
34	16.96
35	16.56
36	16.19
37	15.84
38	15.5
39	15.18
40	14.88
41	14.58
42	14.31
43	14.04
44	13.78
45	13.54
46	13.3
47	13.08
48	12.86
49	12.65
50	12.45
51	12.25
52	12.07
53	11.89
54	11.71
55	11.54
56	11.38
57	11.22
58	11.07
59	10.92
60	10.78
61	10.64
62	10.51
63	10.38
64	10.25
65	10.13
66	10.01
67	9.89
68	9.776
69	9.666
70	9.559
71	9.455
72	9.353
73	9.254
74	9.157
75	9.063
76	8.971
77	8.882
78	8.794
79	8.709
80	8.625
81	8.544
82	8.464
83	8.387
84	8.311
85	8.236
86	8.163
87	8.092
88	8.023
89	7.954
90	7.888
91	7.822
92	7.758
93	7.695
94	7.634
95	7.573
96	7.514
97	7.456
98	7.4
99	7.344
100	7.289
101	7.235
102	7.183
103	7.131
104	7.08
105	7.03
106	6.981
107	6.933
108	6.886
109	6.839
110	6.794
111	6.749
112	6.705
113	6.661
114	6.619
115	6.577
116	6.535
117	6.495
118	6.455
119	6.415
120	6.377
121	6.339
122	6.301
123	6.264
124	6.228
125	6.192
126	6.157
127	6.122
128	6.088
129	6.054
130	6.021
131	5.988
132	5.956
133	5.924
134	5.892
135	5.861
136	5.831
137	5.801
138	5.771
139	5.742
140	5.713
141	5.685
142	5.657
143	5.629
144	5.602
145	5.575
146	5.548
147	5.522
148	5.496
149	5.47
150	5.445
151	5.42
152	5.395
153	5.371
154	5.347
155	5.323
156	5.3
157	5.276
158	5.254
159	5.231
160	5.209
161	5.187
162	5.165
163	5.143
164	5.122
165	5.101
166	5.08
167	5.059
168	5.039
169	5.019
170	4.999
171	4.979
172	4.96
173	4.941
174	4.922
175	4.903
176	4.884
177	4.866
178	4.848
179	4.83
180	4.812
181	4.794
182	4.777
183	4.76
184	4.743
185	4.726
186	4.709
187	4.693
188	4.676
189	4.66
190	4.644
191	4.628
192	4.612
193	4.597
194	4.581
195	4.566
196	4.551
197	4.536
198	4.521
199	4.507
200	4.492
201	4.478
202	4.464
203	4.449
204	4.435
205	4.422
206	4.408
207	4.394
208	4.381
209	4.368
210	4.354
211	4.341
212	4.328
213	4.315
214	4.303
215	4.29
216	4.278
217	4.265
218	4.253
219	4.241
220	4.229
221	4.217
222	4.205
223	4.193
224	4.182
225	4.17
226	4.159
227	4.147
228	4.136
229	4.125
230	4.114
231	4.103
232	4.092
233	4.081
234	4.07
235	4.06
236	4.049
237	4.039
238	4.029
239	4.018
240	4.008
241	3.998
242	3.988
243	3.978
244	3.968
245	3.958
246	3.949
247	3.939
248	3.93
249	3.92
250	3.911
END
MEDIUM=AIR700ICRU	VER=0.0.0
 MIXT,RHO= 1.2048E-03,NE= 4,GASP= 1.0000E+00, IUNRST=0, EPSTFL=1, IAPRIM=1
 ASYM=C ,Z= 6.,A=   12.011,PZ= 1.03237E-05,RHOZ= 1.24000E-04
 ASYM=N ,Z= 7.,A=   14.007,PZ= 5.39171E-02,RHOZ= 7.55200E-01
 ASYM=O ,Z= 8.,A=   15.999,PZ= 1.44880E-02,RHOZ= 2.31800E-01
 ASYM=AR,Z=18.,A=   39.948,PZ= 3.21168E-04,RHOZ= 1.28300E-02
TABLE
kE	dE/dx
[MeV]	[MeV/cm^2]
1	222.9
2	137.1
3	101.8
4	81.97
5	69.09
6	59.97
7	53.15
8	47.83
9	43.57
10	40.06
11	37.12
12	34.62
13	32.47
14	30.59
15	28.94
16	27.47
17	26.16
18	24.98
19	23.91
20	22.94
21	22.05
22	21.24
23	20.49
24	19.79
25	19.15
26	18.55
27	18
28	17.48
29	16.99
30	16.53
31	16.1
32	15.69
33	15.31
34	14.95
35	14.6
36	14.28
37	13.97
38	13.67
39	13.39
40	13.12
41	12.86
42	12.62
43	12.38
44	12.16
45	11.94
46	11.74
47	11.54
48	11.35
49	11.16
50	10.99
51	10.81
52	10.65
53	10.49
54	10.34
55	10.19
56	10.05
57	9.908
58	9.773
59	9.643
60	9.517
61	9.395
62	9.277
63	9.162
64	9.05
65	8.942
66	8.836
67	8.734
68	8.634
69	8.537
70	8.443
71	8.351
72	8.261
73	8.174
74	8.089
75	8.006
76	7.925
77	7.846
78	7.769
79	7.694
80	7.62
81	7.549
82	7.478
83	7.41
84	7.343
85	7.277
86	7.213
87	7.151
88	7.089
89	7.029
90	6.97
91	6.913
92	6.856
93	6.801
94	6.747
95	6.693
96	6.641
97	6.59
98	6.54
99	6.491
100	6.443
101	6.395
102	6.349
103	6.303
104	6.259
105	6.215
106	6.171
107	6.129
108	6.087
109	6.046
110	6.006
111	5.966
112	5.928
113	5.889
114	5.852
115	5.815
116	5.778
117	5.742
118	5.707
119	5.672
120	5.638
121	5.605
122	5.572
123	5.539
124	5.507
125	5.475
126	5.444
127	5.414
128	5.383
129	5.354
130	5.324
131	5.295
132	5.267
133	5.239
134	5.211
135	5.184
136	5.157
137	5.131
138	5.104
139	5.079
140	5.053
141	5.028
142	5.003
143	4.979
144	4.955
145	4.931
146	4.907
147	4.884
148	4.861
149	4.839
150	4.816
151	4.794
152	4.773
153	4.751
154	4.73
155	4.709
156	4.688
157	4.668
158	4.648
159	4.628
160	4.608
161	4.589
162	4.569
163	4.55
164	4.531
165	4.513
166	4.495
167	4.476
168	4.458
169	4.441
170	4.423
171	4.406
172	4.389
173	4.372
174	4.355
175	4.338
176	4.322
177	4.306
178	4.29
179	4.274
180	4.258
181	4.242
182	4.227
183	4.212
184	4.197
185	4.182
186	4.167
187	4.153
188	4.138
189	4.124
190	4.11
191	4.096
192	4.082
193	4.068
194	4.054
195	4.041
196	4.028
197	4.014
198	4.001
199	3.988
200	3.976
201	3.963
202	3.95
203	3.938
204	3.926
205	3.913
206	3.901
207	3.889
208	3.877
209	3.866
210	3.854
211	3.842
212	3.831
213	3.82
214	3.808
215	3.797
216	3.786
217	3.775
218	3.764
219	3.754
220	3.743
221	3.733
222	3.722
223	3.712
224	3.701
225	3.691
226	3.681
227	3.671
228	3.661
229	3.651
230	3.642
231	3.632
232	3.622
233	3.613
234	3.603
235	3.594
236	3.585
237	3.576
238	3.566
239	3.557
240	3.548
241	3.539
242	3.531
243	3.522
244	3.513
245	3.505
246	3.496
247	3.487
248	3.479
249	3.471
250	3.462
END
MEDIUM=ICRPBONE700ICRU	VER=0.0.0
 MIXT,RHO= 1.8500E+00,NE= 9, IUNRST=0, EPSTFL=1, IAPRIM=1
 ASYM=H ,Z= 1.,A=    1.008,PZ= 4.68605E-02,RHOZ= 4.72340E-02
 ASYM=C ,Z= 6.,A=   12.011,PZ= 1.20163E-02,RHOZ= 1.44330E-01
 ASYM=N ,Z= 7.,A=   14.007,PZ= 2.99785E-03,RHOZ= 4.19900E-02
 ASYM=O ,Z= 8.,A=   15.999,PZ= 2.78820E-02,RHOZ= 4.46096E-01
 ASYM=MG,Z=12.,A=   24.312,PZ= 9.04903E-05,RHOZ= 2.20000E-03
 ASYM=P ,Z=15.,A=   30.974,PZ= 3.38899E-03,RHOZ= 1.04970E-01
 ASYM=S ,Z=16.,A=   32.064,PZ= 9.82410E-05,RHOZ= 3.15000E-03
 ASYM=CA,Z=20.,A=   40.080,PZ= 5.23777E-03,RHOZ= 2.09930E-01
 ASYM=ZN,Z=30.,A=   65.370,PZ= 1.52975E-06,RHOZ= 1.00000E-04
TABLE
kE	dE/dx
[MeV]	[MeV/cm^2]
1	219.6
2	135.5
3	100.9
4	81.42
5	68.74
6	59.76
7	53.02
8	47.77
9	43.56
10	40.08
11	37.17
12	34.69
13	32.55
14	30.69
15	29.04
16	27.58
17	26.28
18	25.1
19	24.04
20	23.07
21	22.19
22	21.38
23	20.63
24	19.94
25	19.29
26	18.7
27	18.14
28	17.62
29	17.13
30	16.67
31	16.24
32	15.83
33	15.45
34	15.09
35	14.74
36	14.41
37	14.1
38	13.81
39	13.52
40	13.26
41	13
42	12.75
43	12.52
44	12.29
45	12.07
46	11.87
47	11.67
48	11.47
49	11.29
50	11.11
51	10.94
52	10.77
53	10.61
54	10.46
55	10.31
56	10.17
57	10.03
58	9.893
59	9.762
60	9.635
61	9.512
62	9.393
63	9.277
64	9.165
65	9.055
66	8.949
67	8.846
68	8.746
69	8.648
70	8.553
71	8.46
72	8.37
73	8.282
74	8.197
75	8.113
76	8.031
77	7.952
78	7.874
79	7.798
80	7.724
81	7.652
82	7.581
83	7.512
84	7.445
85	7.378
86	7.314
87	7.251
88	7.189
89	7.128
90	7.069
91	7.011
92	6.954
93	6.898
94	6.843
95	6.789
96	6.737
97	6.685
98	6.635
99	6.585
100	6.536
101	6.489
102	6.442
103	6.396
104	6.351
105	6.306
106	6.263
107	6.22
108	6.178
109	6.136
110	6.096
111	6.056
112	6.016
113	5.978
114	5.94
115	5.902
116	5.865
117	5.829
118	5.794
119	5.759
120	5.724
121	5.69
122	5.657
123	5.624
124	5.591
125	5.56
126	5.528
127	5.497
128	5.467
129	5.437
130	5.407
131	5.378
132	5.349
133	5.321
134	5.293
135	5.265
136	5.238
137	5.211
138	5.185
139	5.158
140	5.133
141	5.107
142	5.082
143	5.058
144	5.033
145	5.009
146	4.985
147	4.962
148	4.939
149	4.916
150	4.893
151	4.871
152	4.849
153	4.827
154	4.806
155	4.785
156	4.764
157	4.743
158	4.723
159	4.703
160	4.683
161	4.663
162	4.644
163	4.624
164	4.605
165	4.586
166	4.568
167	4.55
168	4.531
169	4.513
170	4.496
171	4.478
172	4.461
173	4.444
174	4.427
175	4.41
176	4.393
177	4.377
178	4.361
179	4.345
180	4.329
181	4.313
182	4.297
183	4.282
184	4.267
185	4.252
186	4.237
187	4.222
188	4.207
189	4.193
190	4.178
191	4.164
192	4.15
193	4.136
194	4.123
195	4.109
196	4.095
197	4.082
198	4.069
199	4.056
200	4.043
201	4.03
202	4.017
203	4.005
204	3.992
205	3.98
206	3.968
207	3.955
208	3.943
209	3.931
210	3.92
211	3.908
212	3.896
213	3.885
214	3.874
215	3.862
216	3.851
217	3.84
218	3.829
219	3.818
220	3.807
221	3.797
222	3.786
223	3.776
224	3.765
225	3.755
226	3.745
227	3.735
228	3.724
229	3.715
230	3.705
231	3.695
232	3.685
233	3.675
234	3.666
235	3.656
236	3.647
237	3.638
238	3.628
239	3.619
240	3.61
241	3.601
242	3.592
243	3.583
244	3.575
245	3.566
246	3.557
247	3.549
248	3.54
249	3.532
250	3.523
END
MEDIUM=PB700ICRU	VER=0.0.0
 ELEM,RHO= 1.1340E+01,NE= 1, IUNRST=0, EPSTFL=1, IAPRIM=1
 ASYM=PB,Z=82.,A=  207.190,PZ= 1.00000E+00,RHOZ= 2.07190E+02
TABLE
kE	dE/dx
[MeV]	[MeV/cm^2]
1	62.98
2	45.37
3	36.66
4	31.2
5	27.39
6	24.54
7	22.32
8	20.52
9	19.04
10	17.79
11	16.71
12	15.78
13	14.96
14	14.24
15	13.59
16	13.01
17	12.48
18	12
19	11.56
20	11.16
21	10.79
22	10.45
23	10.13
24	9.831
25	9.554
26	9.294
27	9.049
28	8.819
29	8.601
30	8.396
31	8.201
32	8.017
33	7.842
34	7.675
35	7.516
36	7.365
37	7.221
38	7.083
39	6.951
40	6.825
41	6.704
42	6.588
43	6.477
44	6.37
45	6.267
46	6.168
47	6.072
48	5.98
49	5.892
50	5.806
51	5.724
52	5.644
53	5.567
54	5.492
55	5.42
56	5.349
57	5.282
58	5.216
59	5.152
60	5.09
61	5.03
62	4.971
63	4.915
64	4.86
65	4.806
66	4.754
67	4.703
68	4.653
69	4.605
70	4.558
71	4.512
72	4.468
73	4.424
74	4.382
75	4.34
76	4.3
77	4.26
78	4.222
79	4.184
80	4.147
81	4.111
82	4.076
83	4.041
84	4.007
85	3.974
86	3.942
87	3.91
88	3.88
89	3.849
90	3.819
91	3.79
92	3.762
93	3.734
94	3.706
95	3.679
96	3.653
97	3.627
98	3.602
99	3.577
100	3.552
101	3.528
102	3.504
103	3.481
104	3.458
105	3.436
106	3.414
107	3.392
108	3.371
109	3.35
110	3.329
111	3.309
112	3.289
113	3.27
114	3.25
115	3.231
116	3.213
117	3.194
118	3.176
119	3.158
120	3.141
121	3.123
122	3.106
123	3.09
124	3.073
125	3.057
126	3.041
127	3.025
128	3.009
129	2.994
130	2.979
131	2.964
132	2.949
133	2.934
134	2.92
135	2.906
136	2.892
137	2.878
138	2.864
139	2.851
140	2.838
141	2.825
142	2.812
143	2.799
144	2.786
145	2.774
146	2.762
147	2.749
148	2.738
149	2.726
150	2.714
151	2.703
152	2.691
153	2.68
154	2.669
155	2.658
156	2.647
157	2.636
158	2.626
159	2.615
160	2.605
161	2.595
162	2.584
163	2.574
164	2.565
165	2.555
166	2.545
167	2.536
168	2.526
169	2.517
170	2.508
171	2.498
172	2.489
173	2.48
174	2.472
175	2.463
176	2.454
177	2.446
178	2.437
179	2.429
180	2.42
181	2.412
182	2.404
183	2.396
184	2.388
185	2.38
186	2.372
187	2.365
188	2.357
189	2.349
190	2.342
191	2.334
192	2.327
193	2.32
194	2.312
195	2.305
196	2.298
197	2.291
198	2.284
199	2.277
200	2.271
201	2.264
202	2.257
203	2.251
204	2.244
205	2.237
206	2.231
207	2.225
208	2.218
209	2.212
210	2.206
211	2.2
212	2.194
213	2.187
214	2.182
215	2.176
216	2.17
217	2.164
218	2.158
219	2.152
220	2.147
221	2.141
222	2.135
223	2.13
224	2.124
225	2.119
226	2.113
227	2.108
228	2.103
229	2.098
230	2.092
231	2.087
232	2.082
233	2.077
234	2.072
235	2.067
236	2.062
237	2.057
238	2.052
239	2.047
240	2.042
241	2.038
242	2.033
243	2.028
244	2.023
245	2.019
246	2.014
247	2.01
248	2.005
249	2.001
250	1.996
END
MEDIUM=W700ICRU	VER=0.0.0
 ELEM,RHO= 1.9300E+01,NE= 1, IUNRST=0, EPSTFL=1, IAPRIM=1
 ASYM=W ,Z=74.,A=  183.850,PZ= 1.00000E+00,RHOZ= 1.83850E+02
TABLE
kE	dE/dx
[MeV]	[MeV/cm^2]
1	63.56
2	46.07
3	37.33
4	31.83
5	27.97
6	25.08
7	22.81
8	20.98
9	19.47
10	18.18
11	17.09
12	16.13
13	15.29
14	14.55
15	13.89
16	13.29
17	12.75
18	12.26
19	11.81
20	11.4
21	11.02
22	10.67
23	10.34
24	10.04
25	9.755
26	9.49
27	9.243
28	9.01
29	8.791
30	8.585
31	8.389
32	8.205
33	8.029
34	7.863
35	7.704
36	7.553
37	7.41
38	7.272
39	7.141
40	7.015
41	6.894
42	6.778
43	6.667
44	6.56
45	6.458
46	6.359
47	6.263
48	6.171
49	6.082
50	5.997
51	5.914
52	5.834
53	5.756
54	5.681
55	5.609
56	5.538
57	5.47
58	5.403
59	5.339
60	5.276
61	5.216
62	5.157
63	5.099
64	5.043
65	4.989
66	4.936
67	4.884
68	4.834
69	4.785
70	4.737
71	4.69
72	4.644
73	4.6
74	4.556
75	4.514
76	4.473
77	4.432
78	4.392
79	4.354
80	4.316
81	4.279
82	4.242
83	4.207
84	4.172
85	4.138
86	4.104
87	4.072
88	4.039
89	4.008
90	3.977
91	3.947
92	3.917
93	3.888
94	3.859
95	3.831
96	3.804
97	3.777
98	3.75
99	3.724
100	3.698
101	3.673
102	3.649
103	3.624
104	3.6
105	3.577
106	3.554
107	3.531
108	3.509
109	3.487
110	3.465
111	3.444
112	3.423
113	3.403
114	3.382
115	3.362
116	3.343
117	3.324
118	3.305
119	3.286
120	3.267
121	3.249
122	3.231
123	3.214
124	3.196
125	3.179
126	3.162
127	3.146
128	3.13
129	3.113
130	3.097
131	3.082
132	3.066
133	3.051
134	3.036
135	3.021
136	3.007
137	2.992
138	2.978
139	2.964
140	2.95
141	2.936
142	2.923
143	2.909
144	2.896
145	2.883
146	2.87
147	2.858
148	2.845
149	2.833
150	2.821
151	2.809
152	2.797
153	2.785
154	2.773
155	2.762
156	2.751
157	2.739
158	2.728
159	2.717
160	2.706
161	2.696
162	2.685
163	2.675
164	2.664
165	2.654
166	2.644
167	2.634
168	2.624
169	2.614
170	2.605
171	2.595
172	2.586
173	2.576
174	2.567
175	2.558
176	2.549
177	2.54
178	2.531
179	2.522
180	2.514
181	2.505
182	2.496
183	2.488
184	2.48
185	2.471
186	2.463
187	2.455
188	2.447
189	2.439
190	2.431
191	2.424
192	2.416
193	2.408
194	2.401
195	2.393
196	2.386
197	2.379
198	2.371
199	2.364
200	2.357
201	2.35
202	2.343
203	2.336
204	2.329
205	2.322
206	2.316
207	2.309
208	2.302
209	2.296
210	2.289
211	2.283
212	2.276
213	2.27
214	2.264
215	2.258
216	2.251
217	2.245
218	2.239
219	2.233
220	2.227
221	2.221
222	2.216
223	2.21
224	2.204
225	2.198
226	2.193
227	2.187
228	2.182
229	2.176
230	2.171
231	2.165
232	2.16
233	2.155
234	2.149
235	2.144
236	2.139
237	2.134
238	2.129
239	2.123
240	2.118
241	2.113
242	2.108
243	2.104
244	2.099
245	2.094
246	2.089
247	2.084
248	2.08
249	2.075
250	2.07
END
MEDIUM=AL700ICRU	VER=0.0.0
 ELEM,RHO= 2.7020E+00,NE= 1, IUNRST=0, EPSTFL=1, IAPRIM=1
 ASYM=AL,Z=13.,A=   26.982,PZ= 1.00000E+00,RHOZ= 2.69815E+01
TABLE
kE	dE/dx
[MeV]	[MeV/cm^2]
1	172
2	109.5
3	82.5
4	67.07
5	56.95
6	49.73
7	44.3
8	40.04
9	36.6
10	33.76
11	31.37
12	29.33
13	27.57
14	26.03
15	24.66
16	23.45
17	22.37
18	21.39
19	20.5
20	19.69
21	18.95
22	18.27
23	17.64
24	17.06
25	16.52
26	16.02
